Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
buffHeadShotsOnlyName,buffs,Buff,,x,Head Shots Only,,,,,,,,,,,,,
buffHeadShotsOnlyTooltip,buffs,Buff,,x,Aim for the head!,,,,,,,,,,,,,
buffMeleePreferredDesc,buffs,Buff,,x,Melee Damage +150%\nRanged Damage 0\nDamage Taken -20%,,,,,,,,,,,,,
buffMeleePreferredName,buffs,Buff,,x,Melee Preferred,,,,,,,,,,,,,
buffMeleePreferredTooltip,buffs,Buff,,x,You feel like getting up close and personal!,,,,,,,,,,,,,
buffShowDetachCameraEnabledDesc,buffs,Buff,,x,Detached Camera has been Enabled.\n\n Press [action:local:DetachCamera] to Disable.,,,,,,カメラの切り離しが有効化されました。\n\n[action:local:DetachCamera]を押して無効化します。,,,,,,,
buffShowDetachCameraEnabledName,buffs,Buff,,x,Detached Camera Enabled,,,,,,カメラの切り離しが有効,,,,,,,
buffShowDetachCameraEnabledShort,buffs,Buff,,x,DC Enabled,,,,,,DC有効,,,,,,,
buffShowDetachCameraEnabledTooltip,buffs,Buff,,x,Detached Camera has been Enabled.,,,,,,カメラの切り離しが有効化されました。,,,,,,,
buffShowToggleDCEnabledDesc,buffs,Buff,,x,Detached Camera Move has been Enabled.\n\n Press [action:local:ToggleDCMove] to Disable.,,,,,,カメラ切り離し移動が有効化されました。\n\n[action:local:ToggleDCMove]を押して無効化します。,,,,,,,
buffShowToggleDCEnabledName,buffs,Buff,,x,Toggle DC Enabled,,,,,,DC有効化の切り替え,,,,,,,
buffShowToggleDCEnabledNameShort,buffs,Buff,,x,DC Move ON,,,,,,DC移動オン,,,,,,,
buffShowToggleDCEnabledTooltip,buffs,Buff,,x,Detached Camera Move has been Enabled.,,,,,,カメラ切り離し移動が有効化されました。,,,,,,,
buffStatusWoundedName,buffs,Buff,,x,Low Health,,Geringe Gesundheit,Salud baja,Santé faible,Salute bassa,体力低下,체력 낮음,Niski poziom zdrowia,Saúde baixa,Низкий уровень здоровья,Düşük Sağlık,低生命值,生命值不足
buffStatusWoundedTooltip,buffs,Buff,,x,Your maximum health is low. Apply first aid to restore it.,,"Deine maximale Gesundheit ist niedrig. Wende Erste Hilfe an, um sie wiederherzustellen.",Tu salud máxima está baja. Aplica primeros auxilios para restaurarla.,Votre santé max. est faible. Appliquez des premiers soins pour la rétablir.,La tua salute massima è bassa. Usa gli oggetti di pronto soccorso per curarti.,最大体力が低下しています。応急処置を施して回復させましょう。,최대 체력이 낮습니다. 응급 치료 키트를 찾아 회복하세요.,"Maksymalny poziom zdrowia jest niski. Użyj apteczki, aby go przywrócić.",Sua saúde máxima está baixa. Use primeiros socorros para restaurá-la.,"Максимальный уровень здоровья снижен. Воспользуйтесь аптечкой, чтобы восстановить его.",Maksimum sağlığın düşük. Yenilemek için ilk yardım uygula.,你的最大生命值较低。使用急救措施恢复生命值。,你的生命值不足。實施急救，恢復生命值。
buffWatchYourAimDesc,buffs,Buff,,x,Block Damage +700,,,,,,,,,,,,,
buffWatchYourAimName,buffs,Buff,,x,Watch Your Aim,,,,,,,,,,,,,
buffWatchYourAimTooltip,buffs,Buff,,x,Watch your aim!,,,,,,,,,,,,,
demoTimerStart,buffs,Buff,,x,Demo Timer,,,,,,,,,,,,,
demoTimerStartDesc,buffs,Buff,,x,Welcome to the 7 Days to Die Console Demo!,,,,,,,,,,,,,
challenge_reward_10000xp,Challenges,Rewards,,x,10000 XP,,,,,,,,,,,,,
challenge_reward_1000xp,Challenges,Rewards,,x,1000 XP,,,,,,,,,,,,,
challenge_reward_100xp,Challenges,Rewards,,x,100 XP,,,,,,,,,,,,,
challenge_reward_2000xp,Challenges,Rewards,,x,2000 XP,,,,,,,,,,,,,
challenge_reward_2500xp,Challenges,Rewards,,x,2500 XP,,,,,,,,,,,,,
challenge_reward_5000xp,Challenges,Rewards,,x,5000 XP,,,,,,,,,,,,,
challenge_reward_500xp,Challenges,Rewards,,x,500 XP,,,,,,,,,,,,,
discordPresenceDetailsAtHome,Discord,UI,x,x,At home,,,,,,在宅中,,,,,,,
discordPresenceDetailsBloodMoon,Discord,UI,x,x,Blood Moon,,,,,,ブラッドムーン中,,,,,,,
discordPresenceDetailsConnectingToServer,Discord,UI,x,x,Connecting to a server,,,,,,サーバーへ接続中,,,,,,,
discordPresenceDetailsExploring,Discord,UI,x,x,Exploring,,,,,,探索中,,,,,,,
discordPresenceDetailsInMenu,Discord,UI,x,x,Main Menu,,,,,,メインメニュー,,,,,,,
discordPresenceDetailsPoiEditor,Discord,UI,x,x,POI Editor,,,,,,プレハブエディタ,,,,,,,
discordPresenceDetailsQuesting,Discord,UI,x,x,{0} quest,,,,,,{0}クエスト中,,,,,,,
discordPresenceDetailsStartingGame,Discord,UI,x,x,Starting a game,,,,,,ゲーム開始中,,,,,,,
discordPresenceDetailsTwitchIntegration,Discord,UI,x,x,Twitch Integration,,,,,,Twitch連携中,,,,,,,
discordPresenceDetailsWorldEditor,Discord,UI,x,x,World Editor,,,,,,ワールドエディタ,,,,,,,
discordPresenceStateInParty,Discord,UI,x,x,In a party of {0},,,,,,{0}人パーティー中,,,,,,,
discordPresenceStateSolo,Discord,UI,x,x,Solo,,,,,,ソロプレイ中,,,,,,,
modMeleeGunToolDecapitizer,item_modifiers,mod,,x,The Decapitizer,,,,,,,,,,,,,
modMeleeGunToolDecapitizerDesc,item_modifiers,mod,,x,"You weren't really using that limb anyway, did ya?",,,,,,,,,,,,,
modVehicleMegaDesc,item_modifiers,Mod,,x,Megaliciously adds mega stuff.,,Fügt megahaft Mega-Sachen hinzu.,Agrega megacosas a lo grande.,Méga-ajout de méga-trucs.,Aggiunge cose megavigliosamente mega.,大量に持てます。,거대한 무언가를 추가합니다.,Megaliciously adds mega stuff.,Adiciona mega coisas.,Megaliciously adds mega stuff.,Mega eklentilerle dolu mega mod.,疯狂添加超级物品。,可往車輛中添加超大型物品。
armorClothHatDemo,items,Clothes,,x,Padded Hood - Console Demo Version,,,,,,,,,,,,,
resourceSteelPolish,items,Item,,x,Reinforced Steel Upgrade (deprecated),,Aufwertung aus verstärktem Stahl (veraltet),Reinforced Steel Upgrade (deprecated),Amélioration pour acier renforcé (obsolète),Miglioramento per acciaio rinforzato (deprecato),強化鉄鋼アップグレード（廃止）,강화형 강철 업그레이드 (삭제 예정),Reinforced Steel Upgrade (deprecated),Melhoria de aço reforçado (descontinuada),Reinforced Steel Upgrade (deprecated),Güçlendirilmiş Çelik Yükseltmesi (geçersiz),增强钢制品升级道具 (deprecated),加強鋼筋升級（不推薦使用）
sunblocker,items,Medical,,x,Sunblocker,,Sonnencreme,Protector solar,Écran solaire,Protezione solare,日焼け止め,자외선 차단제,Krem z filtrem przeciwsłonecznym,Protetor solar,Солнцезащитный крем,Güneş Koruması,防晒霜,防曬霜
sunblockerDesc,items,Medical,,x,It rubs the lotion on it's skin. It does this whenever it's told.,,"Es reibt sich die Lotion auf seine Haut. Das macht es, wann immer man es ihm sagt.",Frota la loción sobre la piel. Lo hace cuando se le pide.,On met de la crème sur sa peau... Quand on est obéissant.,Applicare la lozione sulla pelle. Ripetere ogni volta che viene richiesto.,肌にローションを塗ってくれます。命令すると実行します。,피부에 로션을 바릅니다. 지침이 있을 때마다 사용합니다.,It rubs the lotion on it's skin. It does this whenever it's told.,Passe a loção na pele. Ela faz exatamente o que o nome diz.,It rubs the lotion on it's skin. It does this whenever it's told.,Cildine losyon sürer. Bunu her istediğinde yapar.,把护肤霜擦在身上。让你做，你就照做。,在皮膚上抹上一些霜。只要收到動作指令就會作出這一動作。
meleeWpnBatonT3PlasmaBaton,items,Melee,,x,Plasma Baton,,Plasmastab,Plasma Baton,Plasma Baton,Manganello al plasma,プラズマバトン,플라즈마 배턴,Plasma Baton,Cassetete de Plasma,Plasma Baton,Plazma Cop,Plasma Baton,Plasma Baton
meleeWpnBatonT3PlasmaBatonDesc,items,Melee,,x,This high tech gadget made from junk can shred through metal and has a chance to dismember with each charged hit.,,Dieses High-Tech-Gadget aus Schrott kann Metall durchschreddern und hat bei jedem geladenen Treffer die Chance auf Zerstückelung.,This high tech gadget made from junk can shred through metal and has a chance to dismember with each charged hit.,This high tech gadget made from junk can shred through metal and has a chance to dismember with each charged hit.,Questo gadget altamente tecnologico realizzato dai rottami può fondere il metallo e ha una possibilità di smembramento dei nemici con ogni colpo caricato.,ガラクタで作られたハイテクな打撃武器。\n\n金属にも強く、チャージ中は部位破壊率が上昇します。,"잡동사니를 활용해 만든 최신 기술 장비로, 금속도 갈기갈기 찢을 수 있으며 충전 공격 시 일정 확률로 상대를 해체하기도 합니다.",This high tech gadget made from junk can shred through metal and has a chance to dismember with each charged hit.,Este aparato de alta tecnologia feito de sucata pode triturar metal e tem a chance de desmembrar a cada acerto carregado.,This high tech gadget made from junk can shred through metal and has a chance to dismember with each charged hit.,"Hurdadan yapılan bu yüksek teknoloji cihaz, metali paramparça edebilir ve her şarjlı vuruşta parçalarına ayırabilir.",这个由垃圾制成的高科技小装置可以将金属击成碎片，而且电击时有几率肢解对手。,用舢板做成的高科技小裝置，削鐵如泥且每次電擊時有機會肢解。
meleeWpnBatonT3PlasmaBatonSchematic,items,Melee,,x,Plasma Baton Schematic,,Bauplan – Plasmastab,Plasma Baton Schematic,Plasma Baton Schematic,Schema del manganello al plasma,設計図「プラズマバトン」,플라즈마 배턴 도면,Plasma Baton Schematic,Diagrama de Cassetete de Plasma,Plasma Baton Schematic,Plazma Cop Şeması,Plasma Baton 设计图,Plasma Baton原理圖
gunAssemblyTip,Journal Tip,,,x,To assemble a Gun or Motorized Tool or upgrade it with better parts you must have all the parts in your inventory and have read the schematic. Build it by selecting the part in your inventory and clicking on the “Assemble” action. These recipes will not appear in Crafting menus.,,"Um eine Waffe oder ein motorisiertes Werkzeug zusammenzusetzen oder mithilfe besserer Teile aufzuwerten, musst du in deinem Inventar über alle Teile verfügen und den Bauplan gelesen haben. Baue, indem du das Teil in deinem Inventar auswählst und die Aktion „Zusammensetzen“ anklickst. Diese Rezepte erscheinen nicht in Fertigungs-Menüs.","Para armar una pistola o una herramienta motorizada, o mejorarlo con piezas, debes tener todas las piezas en tu inventario y haber leído el esquema. Constrúyelo seleccionando la pieza en tu inventario y haciendo clic en la acción ""Armar"". Estas instrucciones no aparecerán en los menús de fabricación.","Pour assembler des armes à feu ou des outils motorisés, ou pour les améliorer avec de meilleures pièces, vous devez posséder toutes les pièces nécessaires dans votre inventaire et avoir lu le schéma. Construisez-les en sélectionnant les pièces dans votre inventaire et cliquez sur l'action ""Assembler"". Ces compositions n'apparaissent pas dans les menus de fabrication.","Per poter assemblare e migliorare una pistola o un attrezzo a motore, devi avere tutte le parti nell'inventario e aver letto lo schema. Per costruire, seleziona la parte nel tuo inventario e fai clic su ""Assembla"". Queste ricette non appariranno nei menu ""Creazione"".",銃や動力ツールを組み立てたりアップグレードするためには、そのアイテムのパーツと図が必要です。\n条件が満たされた状態で、パーツをクリックして「組み立てる」を選択します。\n正しい図を読んでいる場合、クラフトメニューにレシピが表示されます。,"총 또는 모터 도구릴 조립하거나 더 좋은 부품으로 업그레이드하려면 인벤토리에 필요한 모든 부품을 보유하고 있어야 하며 도면을 읽은 상태여야 합니다. 인벤토리에서 부품을 선택한 다음 ""조립""을 클릭해 제작할 수 있습니다. 이 레시피는 제작 메뉴에 나타나지 않습니다.","Aby złożyć broń palną, narzędzie silnikowe lub ulepszyć przedmioty powyższego typu lepszymi częściami, musisz posiadać niezbędne zasoby w ekwipunku i zapoznać się z odpowiednimi schematami. Budowę rozpoczniesz, wybierając część w ekwipunku i klikając akcję „Montuj”. Przepisy tego typu nie będą wyświetlane w menu rzemiosła.","Para montar uma Arma de Fogo ou uma Ferramenta Motorizada ou para melhorá-las com peças melhores, você deve possuir todas as peças no inventário e ter lido o diagrama. Selecione a peça no seu inventário e clique na ação “Montar”. Essas receitas não aparecem nos menus de fabricação.",Для сборки оружия или электроинструмента или их улучшения за счет использования лучших деталей нужно иметь в инвентаре все детали и изучить схему. Для изготовления выберите детали в инвентаре и нажмите на действие «Сборка». Эти рецепты не появятся в меню «Изготовление».,"Silah veya Motorlu alet birleştirmek ya da daha iyi parçalarla yükseltmek için envanterinde gerekli tüm parçaların bulunması ve şemayı okumuş olman gerekir. Envanterinde parçayı seçerek ve ""Birleştir"" eylemine tıklayarak üret. Bu tarifler Üretim menülerinde gösterilmez.",要组装一把枪或是电动工具，抑或用更好的部件升级你的武器或工具，你必须首先在物品栏中拥有所有必备材料，然后已经阅读过相关设计图。在物品栏中选择组件并点击“组装”动作来组装它。这类配方不会出现在制作菜单中。,組裝槍械或電動工具或者升級使用更好的零件，你的物品欄裏需要備齊所有零件並且閲讀原理圖。從物品欄中選擇零件，點擊「組裝」操作，進行組裝。這些配方不會出現在製作選單。
gunAssemblyTip_title,Journal Tip,,,x,Item Assembly,,Gegenstand zusammensetzen,Armado de objeto,Assemblage d'objet,Assemblaggio,アイテムの組み立て,아이템 조립,Montaż przedmiotu,Montagem de Itens,Сборка предметов,Öğe Birleştirme,物品组装,物品組裝
tableSawTip,Journal Tip,,,x,Use the table saw to unlock and craft a multitude of cosmetic recipes to customize and decorate your base.,,"Mit der Tischkreissäge kannst du eine Vielzahl kosmetischer Rezepte freischalten und fertigen, mit denen du deine Basis individualisieren und dekorieren kannst.",Usa la sierra de mesa para desbloquear y fabricar gran variedad de recetas cosméticas para personalizar y decorar tu base.,Utilisez la scie sur table pour déverrouiller et fabriquer une multitude de compositions cosmétiques pour personnaliser et décorer votre base.,Usa il banco sega per sbloccare e creare una moltitudine di ricette estetiche per personalizzare e abbellire la tua base.,卓上丸鋸を使って、多様なコスメレシピをアンロック/クラフトし、基地のカスタマイズや装飾を行いましょう。,테이블톱을 사용해 다양한 꾸미기 레시피를 잠금 해제하고 제작해 기지를 꾸미고 장식할 수 있습니다.,"Użyj piły stołowej, aby odblokować i wytworzyć wiele przepisów kosmetycznych, dzięki którym spersonalizujesz i ozdobisz bazę.","Use a serra de bancada para desbloquear e fabricar diversas receitas de cosméticos, além de personalizar e decorar sua base.",При помощи циркулярного станка разблокируйте и создайте разные косметические рецепты для оформления и украшения своей базы.,Masa testeresini kullanarak üssünü özelleştirmek ve süslemek için birçok kozmetik tarifin kilidini açıp üretebilirsin.,使用锯床来解锁并制作大量装饰配方，自定义并装饰基地。,使用桌鋸解鎖和製作多種裝飾品配方，定制和裝飾你的基地。
tableSawTip_title,Journal Tip,,,x,Table Saw,,Tischkreissäge,Sierra de mesa,Scie sur table,Banco sega,卓上丸鋸,테이블톱,Piła stołowa,Serra de Bancada,Циркулярный станок,Masa Testeresi,锯床,桌鋸
aaa_armor_testing,POI,POIName,,x,Armor Testing,,,,,,,,,,,,,
aaa_trigger_test,POI,POIName,,x,Trigger Test,,,,,,,,,,,,,
abandoned_house_01,POI,POIName,,x,The MeMaw Residence,,,,,,,,,,,,,
abandoned_house_02,POI,POIName,,x,Jack & Sally's Getaway,,,,,,,,,,,,,
abandoned_house_03,POI,POIName,,x,Luke's Vacation Rental,,,,,,,,,,,,,
abandoned_house_04,POI,POIName,,x,The Mimzy Residence,,,,,,,,,,,,,
abandoned_house_05,POI,POIName,,x,The Papaw Residence,,,,,,,,,,,,,
abandoned_house_06,POI,POIName,,x,Sal's Safehouse,,,,,,,,,,,,,
abandoned_house_07,POI,POIName,,x,The Clement Residence,,,,,,,,,,,,,
abandoned_house_08,POI,POIName,,x,The Rupert Residence,,,,,,,,,,,,,
abandoned_house_09,POI,POIName,,x,The Dickens Retreat,,,,,,,,,,,,,
abandoned_house_10,POI,POIName,,x,K. Reeves Place,,,,,,,,,,,,,
apartments_01,POI,POIName,,x,Good Life Apartments,,,,,,,,,,,,,
apartments_02,POI,POIName,,x,Vanity Tower,,,,,,,,,,,,,
apartments_03,POI,POIName,,x,The Bend Apartments,,,,,,,,,,,,,
apartments_04,POI,POIName,,x,The Budget Burrows,,,,,,,,,,,,,
apartments_05,POI,POIName,,x,Slummit Apartments,,,,,,,,,,,,,
apartments_06,POI,POIName,,x,Two Bit Tower,,,,,,,,,,,,,
army_camp_01,POI,POIName,,x,Fort Camo,,,,,,,,,,,,,
army_camp_02,POI,POIName,,x,Fort Bags,,,,,,,,,,,,,
army_camp_03,POI,POIName,,x,Fort Quonset,,,,,,,,,,,,,
army_camp_04,POI,POIName,,x,Fort Razor,,,,,,,,,,,,,
army_camp_05,POI,POIName,,x,Fort Choppa,,,,,,,,,,,,,
army_camp_06,POI,POIName,,x,Goldrush Station,,,,,,,,,,,,,
army_camp_07,POI,POIName,,x,Installation Blue Ridge,,,,,,,,,,,,,
army_camp_08,POI,POIName,,x,Forward Supply Depot,,,,,,,,,,,,,
army_camp_09,POI,POIName,,x,Camp Hollow Point,,,,,,,,,,,,,
army_camp_10,POI,POIName,,x,Green Hill,,,,,,,,,,,,,
auto_mechanic_01,POI,POIName,,x,A1 Auto,,,,,,,,,,,,,
bank_01,POI,POIName,,x,Piggy Bank,,,,,,,,,,,,,
bank_02,POI,POIName,,x,Seemore Bank,,,,,,,,,,,,,
bar_01,POI,POIName,,x,Buzz's Bar,,,,,,,,,,,,,
bar_02,POI,POIName,,x,Silver Spurs Corral,,,,,,,,,,,,,
bar_03,POI,POIName,,x,Prickly Dan’s Cactus Bar,,,,,,,,,,,,,
bar_04,POI,POIName,,x,Longhorn Lounge,,,,,,,,,,,,,
bar_06,POI,POIName,,x,Stagecoach Saloon,,,,,,,,,,,,,
barn_01,POI,POIName,,x,Hay Dude Fields,,,,,,,,,,,,,
barn_02,POI,POIName,,x,Mason's Barn,,,,,,,,,,,,,
barn_03,POI,POIName,,x,Boar Barn Fields,,,,,,,,,,,,,
base_military_01,POI,POIName,,x,U.S. Army Post #7,,,,,,,,,,,,,
base_survivor_02,POI,POIName,,x,The Rejekts Gang Outpost,,,,,,,,,,,,,
base_survivor_03,POI,POIName,,x,Quiet Pines Community,,,,,,,,,,,,,
body_shop_01,POI,POIName,,x,Collision Center,,,,,,,,,,,,,
bombshelter_01,POI,POIName,,x,Bart's Salvage,,,,,,,,,,,,,
bombshelter_02,POI,POIName,,x,Hexagon Hideaway,,,,,,,,,,,,,
bombshelter_03,POI,POIName,,x,The Cylinder,,,,,,,,,,,,,
bombshelter_05,POI,POIName,,x,Bunker Buildsite #5,,,,,,,,,,,,,
bombshelter_06,POI,POIName,,x,Best Pals Shelter,,,,,,,,,,,,,
bombshelter_07,POI,POIName,,x,Navezgane Civil Defense Shelter,,,,,,,,,,,,,
bombshelter_08,POI,POIName,,x,Tracey Family Shelter,,,,,,,,,,,,,
bombshelter_09,POI,POIName,,x,Duck Station,,,,,,,,,,,,,
bombshelter_10,POI,POIName,,x,Blue Sky Project,,,,,,,,,,,,,
bombshelter_11,POI,POIName,,x,USA #1 Type Bunker,,,,,,,,,,,,,
bowling_alley_01,POI,POIName,,x,Pineballs Bowling,,,,,,,,,,,,,
bowling_alley_02,POI,POIName,,x,Ballzstrike Bowling,,,,,,,,,,,,,
bunker_00,POI,POIName,,x,Area 7,,,,,,,,,,,,,
business_burnt_01,POI,POIName,,x,O'malley Oats,,,,,,,,,,,,,
business_burnt_02,POI,POIName,,x,Navezgane Creamery,,,,,,,,,,,,,
business_ultramodern_06,POI,POIName,,x,Aeon Amp Lounge,,,,,,,,,,,,,
business_ultramodern_10,POI,POIName,,x,Lumen Row,,,,,,,,,,,,,
business_ultramodern_11,POI,POIName,,x,Byte and Bean Café,,,,,,,,,,,,,
business_ultramodern_60_04,POI,POIName,,x,Aeon Amp Showroom,,,,,,,,,,,,,
cabin_01,POI,POIName,,x,Willy's Cabin,,,,,,,,,,,,,
cabin_02,POI,POIName,,x,Marvin's Getaway,,,,,,,,,,,,,
cabin_03,POI,POIName,,x,The Harrison Residence,,,,,,,,,,,,,
cabin_04,POI,POIName,,x,Wilbur's Place,,,,,,,,,,,,,
cabin_05,POI,POIName,,x,Shawn's Shack,,,,,,,,,,,,,
cabin_06,POI,POIName,,x,Roberts Tack Shack,,,,,,,,,,,,,
cabin_07,POI,POIName,,x,The TJ Morales Residence,,,,,,,,,,,,,
cabin_08,POI,POIName,,x,Johnson Family Cabin,,,,,,,,,,,,,
cabin_09,POI,POIName,,x,Skeeter's Place,,,,,,,,,,,,,
cabin_10,POI,POIName,,x,The Knowbly Cabin,,,,,,,,,,,,,
cabin_11,POI,POIName,,x,New Life Hope Cabin,,,,,,,,,,,,,
cabin_12,POI,POIName,,x,Allistair's Cabin,,,,,,,,,,,,,
cabin_13,POI,POIName,,x,The Gladue Residence,,,,,,,,,,,,,
cabin_14,POI,POIName,,x,The Burns Cabin,,,,,,,,,,,,,
cabin_15,POI,POIName,,x,The Presley Dwellers,,,,,,,,,,,,,
cabin_16,POI,POIName,,x,The Broken Axe,,,,,,,,,,,,,
cabin_17,POI,POIName,,x,The Engall's Residence,,,,,,,,,,,,,
cabin_18,POI,POIName,,x,Our Best Moments,,,,,,,,,,,,,
cabin_20,POI,POIName,,x,The Fire Pit Lodge,,,,,,,,,,,,,
canyon_cliff_dwellings,POI,POIName,,x,Canyon Cliff Dwellings,,,,,,,,,,,,,
canyon_gift_shop,POI,POIName,,x,Canyon Gift Shop & Diner,,,,,,,,,,,,,
canyon_mine,POI,POIName,,x,Canyon Mine,,,,,,,,,,,,,
carlot_01,POI,POIName,,x,Joey's Carlot,,,,,,,,,,,,,
carlot_02,POI,POIName,,x,Carl's Cars,,,,,,,,,,,,,
cave_01,POI,POIName,,x,Steer Gulch,,,,,,,,,,,,,
cave_02,POI,POIName,,x,Pete's Hidey Hole,,,,,,,,,,,,,
cave_03,POI,POIName,,x,Mushroom Mining Company,,,,,,,,,,,,,
cave_04,POI,POIName,,x,Hobo Cave,,,,,,,,,,,,,
cave_05,POI,POIName,,x,Nav Mt. Cave,,,,,,,,,,,,,
cave_06,POI,POIName,,x,Corkscrew Caverns,,,,,,,,,,,,,
cave_07,POI,POIName,,x,Rotten Cavern,,,,,,,,,,,,,
cave_09,POI,POIName,,x,Aranea Caverns,,,,,,,,,,,,,
cave_10,POI,POIName,,x,Crossvein Caverns,,,,,,,,,,,,,
cave_11,POI,POIName,,x,Carlsgood Caverns,,,,,,,,,,,,,
cave_12,POI,POIName,,x,Spelunker's Surprise,,,,,,,,,,,,,
cave_14,POI,POIName,,x,The Secret Chamber,,,,,,,,,,,,,
cave_17,POI,POIName,,x,Nameless Caverns,,,,,,,,,,,,,
cave_18,POI,POIName,,x,Devil's Cauldron,,,,,,,,,,,,,
cave_19,POI,POIName,,x,The Breather's Pocket,,,,,,,,,,,,,
cave_20,POI,POIName,,x,The Eater's Gate,,,,,,,,,,,,,
cemetery_01,POI,POIName,,x,Mausoleums,,,,,,,,,,,,,
cemetery_02,POI,POIName,,x,Crypts,,,,,,,,,,,,,
church_01,POI,POIName,,x,St. Moe's Cathedral,,,,,,,,,,,,,
church_02,POI,POIName,,x,Old Creepy Church,,,,,,,,,,,,,
church_sm_01,POI,POIName,,x,Navezgane Church of Brick,,,,,,,,,,,,,
city_center_01,POI,POIName,,x,Olgiddy & Brother Advertising,,,,,,,,,,,,,
commercial_strip_01,POI,POIName,,x,Shady Square Shoppe,,,,,,,,,,,,,
commercial_strip_02,POI,POIName,,x,Treats Terrace,,,,,,,,,,,,,
commercial_strip_03,POI,POIName,,x,Vick Garrison's Pedipawn,,,,,,,,,,,,,
commercial_strip_04,POI,POIName,,x,Smorgasbord Square,,,,,,,,,,,,,
commercial_strip_05,POI,POIName,,x,Elzner's Emporium,,,,,,,,,,,,,
commercial_strip_07,POI,POIName,,x,Elite Essentials,,,,,,,,,,,,,
country_junkyard_01,POI,POIName,,x,Junkin,,,,,,,,,,,,,
country_junkyard_02,POI,POIName,,x,Atlas Metal Company,,,,,,,,,,,,,
countrytown_bank_01,POI,POIName,,x,Blue Fin Bank,,,,,,,,,,,,,
countrytown_bank_05,POI,POIName,,x,HNN Bank County Branch #5,,,,,,,,,,,,,
countrytown_book_01,POI,POIName,,x,The Book Nook,,,,,,,,,,,,,
countrytown_book_02,POI,POIName,,x,Crypt Keeper Comics,,,,,,,,,,,,,
countrytown_business_01,POI,POIName,,x,Bigg Buns,,,,,,,,,,,,,
countrytown_business_02,POI,POIName,,x,Federal Appliance,,,,,,,,,,,,,
countrytown_business_03,POI,POIName,,x,The Bear Den,,,,,,,,,,,,,
countrytown_business_04,POI,POIName,,x,Aldos Cabinet,,,,,,,,,,,,,
countrytown_business_05,POI,POIName,,x,Butcher Pete's,,,,,,,,,,,,,
countrytown_business_06,POI,POIName,,x,Red Ruby's,,,,,,,,,,,,,
countrytown_business_07,POI,POIName,,x,Maggie's Corner Cafe,,,,,,,,,,,,,
countrytown_business_08,POI,POIName,,x,Wildfire Camping,,,,,,,,,,,,,
